Complexity,Loss,Equation
1,1.336778,"2.0719464"
3,0.74069065,"x0 + 2.066618"
5,0.6991447,"(x0 + 2.5955775) / 1.2552766"
6,0.6816192,"(x0 - -2.0111473) - sin(x2)"
7,0.6416472,"x0 - ((x6 + x7) + -2.065641)"
8,0.6270078,"x0 - (sin(x6 + x7) + -2.065641)"
9,0.5531515,"((x0 * 0.7032109) + (2.067223 - x6)) - x7"
11,0.55194795,"(((x0 * 0.7038246) - x6) + 2.0674295) - (x7 * 0.9653396)"
12,0.53891313,"0.7721003 * ((2.673853 - (sin(x5) + x7)) + (x0 - x6))"
14,0.49182725,"(x0 + (((sin(x5 * -5.71627) - x6) + 2.6820118) - x7)) * 0.7448316"
16,0.48968428,"(2.6852314 - (x6 - (sin(x5 / (-0.19456726 - x5)) - (x7 - x0)))) * 0.7389768"
